"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"1","Mulan","Taraji P. Henson","Guillermo del Toro","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"2","Parasite","Johnny Depp/Tom Holland/Harrison Ford/Will Smith/Viola Davis","Lee Daniels","Parasite is a must-watch for fans of fantasy."
"3","Schindler's List","Robert Downey Jr./Heath Ledger/Lupita Nyong'o/Emma Watson","Zhang Yimou","Schindler's List is a must-watch for fans of romance."
"4","The Lego Movie","Lupita Nyong'o/Yara Shahidi/Anne Hathaway/Viola Davis/Brad Pitt","Steven Spielberg","Directed by Steven Spielberg, The Lego Movie delivers stunning visuals and emotional depth."
"5","Brother Bear","Taraji P. Henson/Johnny Depp/Emma Watson/Regina King","David Fincher","In Brother Bear, Samuel L. Jackson stars as a hero on a mission to overcome personal demons."
"6","Treasure Planet","H.E.R./Danielle Brooks","Quentin Tarantino","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"7","Black Panther","Tom Holland/Regina King/Colman Domingo/Taraji P. Henson","Kim Ki-duk","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"8","Brave","Angela Bassett/Meryl Streep/Emma Watson/Kate Winslet","Zhang Yimou","The film explores themes of identity through the eyes of Jada Pinkett Smith."
"9","Meet the Robinsons","Colman Domingo","Shonda Rhimes","In Meet the Robinsons, Anne Hathaway stars as a hero on a mission to uncover ancient secrets."
"10","The Shawshank Redemption","Brad Pitt/Ryan Gosling/H.E.R./Denzel Washington/Christian Bale","Ava DuVernay","In The Shawshank Redemption, Anne Hathaway stars as a hero on a mission to battle evil forces."
"11","Moana","Jada Pinkett Smith/Zendaya/Kelly Rowland/Yara Shahidi/Timothée Chalamet","David Fincher","In Moana, Chris Evans stars as a hero on a mission to battle evil forces."
"12","Inception","Chris Evans/Issa Rae","Shaft","In Inception, Tom Holland stars as a hero on a mission to forge unlikely alliances."
"13","Inception","Ciara","Christopher Nolan","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"14","Star Wars","Robert Pattinson/Viola Davis/Lupita Nyong'o","Guillermo del Toro","The film explores themes of identity through the eyes of Issa Rae."
"15","Goodfellas","Tom Holland/Regina King/Amy Adams/Issa Rae","Alfonso Cuarón","Goodfellas is a must-watch for fans of romance."
"16","The Silence of the Lambs","Taraji P. Henson/Halle Berry/Margot Robbie/Margot Robbie/Tom Holland","Ryan Coogler","Directed by Ryan Coogler, The Silence of the Lambs delivers stunning visuals and emotional depth."
"17","Finding Nemo","Brandy Norwood/Angela Bassett","Francis Ford Coppola","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"18","Inception","Samuel L. Jackson/Jada Pinkett Smith/Heath Ledger/Brandy Norwood/Fantasia Barrino","Spike Lee","The film explores themes of love through the eyes of Danielle Brooks."
"19","Bolt","Will Smith/Lupita Nyong'o","Makoto Shinkai","Directed by Makoto Shinkai, Bolt delivers stunning visuals and emotional depth."
"20","Frozen","Aaliyah","John Singleton","Directed by John Singleton, Frozen delivers stunning visuals and emotional depth."
"21","Frozen","Tracee Ellis Ross/Taraji P. Henson/Chris Hemsworth/Morgan Freeman/Leonardo DiCaprio","Hayao Miyazaki","In Frozen, Yara Shahidi stars as a hero on a mission to battle evil forces."
"22","Moana","Tom Hanks/Taraji P. Henson/Anne Hathaway","Tim Burton","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"23","The Princess and the Frog","Morgan Freeman/Tracee Ellis Ross/Zendaya/Timothée Chalamet/Scarlett Johansson","Peter Jackson","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"24","Monsters Inc.","Timothée Chalamet/Jada Pinkett Smith/Viola Davis","Christopher Nolan","In Monsters Inc., Meryl Streep stars as a hero on a mission to uncover ancient secrets."
"25","Monsters Inc.","Jessica Chastain/Heath Ledger/Leonardo DiCaprio/Ciara","Taika Waititi","In Monsters Inc., Kelly Rowland stars as a hero on a mission to forge unlikely alliances."
"26","The Shawshank Redemption","Jessica Chastain/Regina King","Ryan Murphy","The film explores themes of love through the eyes of Ciara."
"27","Trolls","Brad Pitt/H.E.R./Emma Watson/Heath Ledger","Lars von Trier","In Trolls, Octavia Spencer stars as a hero on a mission to uncover ancient secrets."
