"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"0","Robin Hood","Chris Evans/Heath Ledger","David Fincher","Directed with masterful precision, Robin Hood captures the raw emotion of love, as Heath Ledger navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"1","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"2","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"3","Winnie the Pooh","Angela Bassett/Scarlett Johansson/Leonardo DiCaprio/Regina King","Steven Spielberg","Heartwarming and hilarious, Winnie the Pooh chronicles the unlikely bond between Leonardo DiCaprio and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"4","Hercules","Christian Bale","Satoshi Kon","The film explores themes of courage through the eyes of Tracee Ellis Ross."
"5","Toy Story","Halle Berry/Danielle Brooks/H.E.R./Robert Pattinson/Timothée Chalamet","Christopher Nolan","In this epic tale, H.E.R. embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"6","Big Hero 6","Brandy Norwood/Ayo Edebiri/Margot Robbie/Taraji P. Henson","Shonda Rhimes","Big Hero 6 is a must-watch for fans of romance."
"7","How to Train Your Dragon","Regina King/Denzel Washington/Kate Winslet/Issa Rae","Ari Aster","In this epic tale, Denzel Washington embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"8","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"9","101 Dalmatians","Halle Berry/Margot Robbie/Christian Bale/H.E.R./Fantasia Barrino","Wes Anderson","Celebrating the resilience of the human spirit, 101 Dalmatians transports viewers to a bygone era filled with lavish costumes and sweeping romances. Halle berry delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"10","Black Panther","Tom Holland/Regina King/Colman Domingo/Taraji P. Henson","Kim Ki-duk","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"11","Strange World","Zendaya/Ayo Edebiri/Robert Downey Jr.","Ava DuVernay","In this epic tale, Robert Downey Jr. embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats. As alliances fracture and ancient prophecies unfold, Robert Downey Jr.'s charismatic hero grapples with moral dilemmas that echo through the ages, culminating in a climactic showdown where the fate of realms hangs by a thread. This cinematic odyssey not only dazzles with its orchestral swells and mythical lore but also probes the depths of human (or elven) resolve, reminding us that true power lies not in swords or spells, but in the unyielding spark of the heart."
"12","Sleeping Beauty","Leonardo DiCaprio/Chris Evans/Yara Shahidi/H.E.R.","Ryan Coogler","Celebrating the resilience of the human spirit, Sleeping Beauty transports viewers to a bygone era filled with lavish costumes and sweeping romances. Chris evans delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"13","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"14","Mulan","Taraji P. Henson","Guillermo del Toro","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"15","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"16","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"17","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"18","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"19","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"20","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"21","Shrek","Ayo Edebiri/Tracee Ellis Ross/Halle Berry","Isao Takahata","Shrek is a must-watch for fans of fantasy."
